borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000026,Redbridge,E05011242,Fairlop,E01003700,Redbridge 006C,0.3564995229244232,16
E09000026,Redbridge,E05011242,Fairlop,E01003704,Redbridge 006G,0.5890279412269592,27
E09000007,Camden,E05013657,Frognal,E01000884,Camden 004D,0.7091602087020874,12
E09000007,Camden,E05013657,Frognal,E01000878,Camden 004A,1.7586902379989624,32
E09000007,Camden,E05013657,Frognal,E01000880,Camden 004C,1.0949605703353882,19
E09000007,Camden,E05013657,Frognal,E01000885,Camden 004E,1.0407233238220215,19
E09000007,Camden,E05013657,Frognal,E01000879,Camden 004B,0.8721064925193787,15
E09000007,Camden,E05013666,King's Cross,E01035712,Camden 029E,0.8191545009613037,12
E09000007,Camden,E05013666,King's Cross,E01000957,Camden 019C,0.8728938102722168,13
E09000007,Camden,E05013666,King's Cross,E01000941,Camden 029D,0.41392090916633606,6
E09000007,Camden,E05013666,King's Cross,E01000939,Camden 029B,1.8826669454574585,29
E09000007,Camden,E05013666,King's Cross,E01000937,Camden 029G,0.6164780259132385,9
E09000007,Camden,E05013666,King's Cross,E01000938,Camden 029A,1.7690459489822388,27
E09000007,Camden,E05013656,Fortune Green,E01000877,Camden 005E,0.8106905817985535,12
E09000007,Camden,E05013656,Fortune Green,E01000872,Camden 005B,1.8684179782867432,28
E09000007,Camden,E05013656,Fortune Green,E01000873,Camden 005C,0.652346670627594,9
E09000007,Camden,E05013656,Fortune Green,E01000876,Camden 013B,0.8074837923049927,12
E09000007,Camden,E05013656,Fortune Green,E01000871,Camden 005A,1.2191163301467896,18
E09000007,Camden,E05013656,Fortune Green,E01000874,Camden 005D,0.698380708694458,10
E09000007,Camden,E05013656,Fortune Green,E01000875,Camden 013A,0.6149966716766357,9
E09000007,Camden,E05013658,Gospel Oak,E01000898,Camden 008E,1.6167179346084595,23
E09000007,Camden,E05013658,Gospel Oak,E01000886,Camden 006A,0.7473558187484741,11
E09000007,Camden,E05013658,Gospel Oak,E01000892,Camden 006D,0.9943611025810242,14
E09000007,Camden,E05013658,Gospel Oak,E01000887,Camden 006B,0.7630671262741089,11
E09000007,Camden,E05013658,Gospel Oak,E01000889,Camden 007A,0.523871660232544,7
E09000007,Camden,E05013658,Gospel Oak,E01000890,Camden 007B,0.5118547677993774,7
E09000007,Camden,E05013658,Gospel Oak,E01000891,Camden 007C,0.8581046462059021,12
E09000007,Camden,E05013658,Gospel Oak,E01000888,Camden 006C,0.752058207988739,11
E09000007,Camden,E05013665,Kilburn,E01000932,Camden 013D,0.6013616919517517,6
E09000007,Camden,E05013665,Kilburn,E01000930,Camden 020B,2.5856754779815674,28
E09000007,Camden,E05013665,Kilburn,E01000929,Camden 020A,0.9131528735160828,9
E09000007,Camden,E05013665,Kilburn,E01000934,Camden 020D,1.3798210620880127,15
E09000007,Camden,E05013665,Kilburn,E01000931,Camden 013C,2.01670503616333,21
E09000007,Camden,E05013665,Kilburn,E01000933,Camden 020C,1.6828268766403198,18
E09000007,Camden,E05013671,West Hampstead,E01000969,Camden 010A,0.9924365282058716,10
E09000007,Camden,E05013671,West Hampstead,E01000968,Camden 016E,1.6763862371444702,17
E09000007,Camden,E05013671,West Hampstead,E01000970,Camden 010B,1.832991600036621,18
E09000007,Camden,E05013671,West Hampstead,E01000973,Camden 010E,2.4421958923339844,25
E09000007,Camden,E05013671,West Hampstead,E01000974,Camden 013E,0.6945538520812988,7
E09000007,Camden,E05013671,West Hampstead,E01000972,Camden 010D,1.8585138320922852,19
E09000007,Camden,E05013671,West Hampstead,E01000971,Camden 010C,0.23340091109275818,2
